method,source_id,degradation,own_cosine,top1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,blur,0.9926759600639343,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,haze,0.9871944785118103,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,inpainting,0.9814897179603577,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,lowlight,0.787031352519989,0
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,noise,0.9536507725715637,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,rain,0.9977881908416748,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322,snow,0.5887343287467957,0
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,blur,0.9731732606887817,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,haze,0.9800387024879456,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,inpainting,0.987320065498352,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,lowlight,0.9619359374046326,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,noise,0.9478005766868591,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,rain,0.9987344741821289,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,snow,0.9661966562271118,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,blur,0.981374979019165,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,haze,0.9707031846046448,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,inpainting,0.9725239872932434,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,lowlight,0.8580977916717529,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,noise,0.9612240791320801,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,rain,0.9985119104385376,1
Degraded,vari-grip/bird-nest/08-06-2021_DJI_0285_392,snow,0.8682668209075928,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,blur,0.997053325176239,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,haze,0.9277697205543518,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,inpainting,0.9843676686286926,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,lowlight,0.9130313992500305,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,noise,0.980997622013092,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,rain,0.9992508888244629,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,snow,0.651427149772644,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,blur,0.9692371487617493,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,haze,0.8821225762367249,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,inpainting,0.9613643884658813,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,lowlight,0.9425154328346252,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,noise,0.9680072069168091,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,rain,0.9985500574111938,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,snow,0.9690830707550049,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,blur,0.9771360754966736,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,haze,0.9734340310096741,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,inpainting,0.890602171421051,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,lowlight,0.9556129574775696,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,noise,0.9594359397888184,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,rain,0.9892905950546265,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,snow,0.7456158399581909,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,blur,0.9947290420532227,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,haze,0.9018507599830627,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,inpainting,0.971055269241333,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,lowlight,0.915998101234436,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,noise,0.981492817401886,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,rain,0.9938123822212219,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,snow,0.9471680521965027,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,blur,0.9879375696182251,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,haze,0.9877551794052124,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,inpainting,0.969643235206604,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,lowlight,0.964012086391449,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,noise,0.9841787815093994,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,rain,0.9880682229995728,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,snow,0.7321841716766357,0
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_6,blur,0.9928911924362183,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_6,haze,0.9625024199485779,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_6,inpainting,0.9613246917724609,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_6,lowlight,0.936840832233429,1
Degraded,vari-grip/bird-nest/10-06-2021_DJI_0271_658_6,noise,0.978912889957428,1
