method,degradation,degraded_cosine,degraded_std,restored_cosine,restored_std,gain,gain_std,num_samples
A5,blur,0.9913953507784754,0.0245387904170064,0.9928329605609179,0.024001909267210277,0.00044269044883549213,0.018350451995865765,256
A5,haze,0.7957916457053216,0.34483742644086296,0.9365800096275052,0.19342833608178955,0.12024935653971625,0.3406222173543228,256
A5,inpainting,0.9023649689625017,0.1263909549768461,0.9978094978723675,0.010565950704278189,0.08671081002103165,0.11832198690853718,256
A5,lowlight,0.921722698258236,0.08839064732879925,0.9859480918385088,0.039311602940399946,0.05555359146092087,0.08135489673988218,256
A5,noise,0.9689115355722606,0.0413930538751371,0.9974384419620037,0.0070035557414452445,0.023449439322575927,0.035445248005975934,256
A5,rain,0.9903962819371372,0.02957466704292848,0.99731859494932,0.011421269815361733,0.005286572501063347,0.02753344122886647,256
A5,snow,0.6164573546211614,0.5097137309617821,0.9379540356676443,0.21629100257074926,0.30019926160275645,0.46654548420013997,256
Restormer,blur,0.9913953507784754,0.0245387904170064,0.9943403063807636,0.01654798639609629,0.0015897259581834078,0.009386582179403958,256
Restormer,haze,0.7957916457053216,0.34483742644086296,0.9229788886004826,0.20577097192434457,0.10794602211171878,0.3235080783904002,256
Restormer,inpainting,0.9023649689625017,0.1263909549768461,0.9981448790058494,0.008205303991179,0.08755672589177266,0.11824435221202345,256
Restormer,lowlight,0.921722698258236,0.08839064732879925,0.9693392685148865,0.08317288773590767,0.04099095624405891,0.09714174293587884,256
Restormer,noise,0.9689115355722606,0.0413930538751371,0.9970267449971288,0.007269116441190468,0.0230951604899019,0.036183226753385006,256
Restormer,rain,0.9903962819371372,0.02957466704292848,0.9952011615969241,0.018568250457608876,0.0035118439700454473,0.0295713485872244,256
Restormer,snow,0.6164573546211614,0.5097137309617821,0.9321486950939288,0.2103673852898515,0.29553327126450313,0.4700508505211649,256
DehazeFormer,blur,0.9913953507784754,0.0245387904170064,0.9904142526211217,0.044745890091120344,-0.0019401520257815719,0.03862859740959499,256
DehazeFormer,haze,0.7957916457053216,0.34483742644086296,0.9121924258706713,0.21170562652401195,0.09917642782420444,0.3136140989745512,256
DehazeFormer,inpainting,0.9023649689625017,0.1263909549768461,0.9992315506096929,0.002209704493145155,0.08847085322486237,0.11872926648548818,256
DehazeFormer,lowlight,0.921722698258236,0.08839064732879925,0.9791403317358345,0.05890908881442807,0.05014510767068714,0.0806402573855444,256
DehazeFormer,noise,0.9689115355722606,0.0413930538751371,0.9980085878632963,0.0041579405105991165,0.02355680614709854,0.03623136485451805,256
DehazeFormer,rain,0.9903962819371372,0.02957466704292848,0.9884149273857474,0.05641751528020224,-0.0019746925681829453,0.054593794303295945,256
DehazeFormer,snow,0.6164573546211614,0.5097137309617821,0.9337299333419651,0.1886578072965206,0.29945933714589046,0.4858574622076952,256
