comparison,metric,delta_improvement,ci_low,ci_high,significant
Ours_vs_Restormer,PSNR,0.6859557632282218,0.5922748598963902,0.7794443579481153,True
Ours_vs_Restormer,LPIPS,0.006277165102021975,0.004771519518089919,0.0077712487762580315,True
Ours_vs_Restormer,Top1,0.0418526785714286,0.02399553571428571,0.059151785714285705,True
Ours_vs_Restormer,Margin,0.004524002280959394,0.0013777226734289021,0.007705979015892287,True
Ours_vs_DehazeFormer,PSNR,0.418826978937453,0.3181550546401623,0.5218477713911299,True
Ours_vs_DehazeFormer,LPIPS,-0.005776789567659868,-0.00768856372004458,-0.0038660162246872344,False
Ours_vs_DehazeFormer,Top1,0.02734375,0.0078124999999999965,0.046875,True
Ours_vs_DehazeFormer,Margin,0.004999719211160221,0.0013978418182627394,0.008607342466789954,True
Ours_vs_PromptIR,PSNR,1.2649787954394789,1.1426385588703958,1.38409327616555,True
Ours_vs_PromptIR,LPIPS,0.014553060607795515,0.012748051039436955,0.016321631654130083,True
Ours_vs_PromptIR,Top1,0.06473214285714302,0.04520089285714285,0.0842773437499998,True
Ours_vs_PromptIR,Margin,0.005617337215101416,0.002235725905848085,0.009188811222442642,True
