method,cohort,model_family,config_note,group,checkpoint_path,checkpoint_exists,checkpoint_bytes,checkpoint_sha256,config_fingerprint,verifier_fingerprint,result_json,per_image_csv,sources_scores_jsonl,anchor_means,restored_images_saved,aggregate_psnr,aggregate_ssim,aggregate_lpips,aggregate_restored_top1,aggregate_eer,aggregate_auc
A0,ablation_core,siblingrestormer,rec+grad; mode=sibling; 20k,,runs/ablation_core/A0_recon_seed13/best.pt,True,31087308,819ed9b271e44796c037ca7373a3e1fd188a1f36f81dcc878dc45abc6d72daa0,3e729e9f6330,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.441171362224775,0.9428484253127992,0.15629223232489103,0.6462053571428571,0.08415835084033613,0.9710128228537509
B1,ablation_core,siblingrestormer,rec+grad+deg; mode=sibling; 20k,,runs/ablation_core/B1_deg_only_seed13/best.pt,True,31243792,2924dc96b84d41e2feec19e38155dd0ef3a50771c9031334baf601b24775b937,2580c491ef9b,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.74857867785559,0.9464037578810738,0.1464462167680592,0.6735491071428571,0.08038996848739496,0.9744995214882828
B2,ablation_core,siblingrestormer,rec+grad+anchor; mode=sibling; 20k,,runs/ablation_core/B2_anchor_only_seed13/best.pt,True,31087564,4151b7f6bb79e302599f77fe1d4f1b77bfa1bd71cd9c54520a824b4f5d35ea7a,52eb473a8dd9,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,27.913695892367066,0.9388842689804733,0.163687293723342,0.6434151785714286,0.08838082107843137,0.9700600625992585
A5,ablation_core,siblingrestormer,rec+grad+deg+anchor; mode=sibling; 20k,,runs/ablation_core/A5_no_sibling_seed13/best.pt,True,31244048,221250dc333234802cf51a90517e2780311ea26a59d1bd22d37c93ee9e5165d7,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.790507863360915,0.9457700604481423,0.1433372255277001,0.6981026785714286,0.07988773634453782,0.9749361548818746
A1,ablation_core,siblingrestormer,rec+grad+sibling; mode=sibling; 20k,,runs/ablation_core/A1_sibling_seed13/best.pt,True,31087308,0abcf95915305af3475f98cccb2778b41e3793f75b56508d460d208b34fb36a9,15308f983821,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,27.95250147300107,0.9394981930714233,0.157793233605584,0.6456473214285714,0.08904171043417367,0.9699011403877957
A2,ablation_core,siblingrestormer,rec+grad+deg; mode=sibling; 20k,,runs/ablation_core/A2_degradation_seed13/best.pt,True,31243792,e744accbe42e73ecde2a8f707a010ee0c8f5592ee22f170b984f26ca79613830,bc2e56421c8c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.547774148592108,0.943529418561541,0.14996466018003826,0.6713169642857143,0.083874956232493,0.9725187951157025
A3,ablation_core,siblingrestormer,rec+grad+deg+anchor+sibling; mode=sibling; 20k,,runs/ablation_core/A3_full_components_seed13/best.pt,True,31244048,3600aea0c69342cfb7cf4a8b4f1fe08a98613e962588f380cc49059e926ee144,c7826a5719dc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.551211792649514,0.9429680762446618,0.14768154233232572,0.6808035714285714,0.08198310574229692,0.9740037775364052
C1,ablation_core,siblingrestormer,rec+grad+adaptive_anchor; mode=sibling; 20k,,runs/ablation_core/C1_adaptive_anchor_only_seed13/best.pt,True,31087692,d0d66ae881cfae55fee40389799783acf8c901285e1e64683d1d9f8a1ee33c2f,13cc4db3edad,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.06915226231867,0.9412310014179509,0.15554726283724968,0.6328125,0.08895089285714286,0.9698414021370266
C2,ablation_core,siblingrestormer,rec+grad+deg+adaptive_anchor; mode=sibling; 20k,,runs/ablation_core/C2_deg_adaptive_anchor_seed13/best.pt,True,31244176,9f2bcb31f3bce5b4c6702619f85f231c35f311c8c290c458637c563c0e431923,6306865bb48f,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.601948621980615,0.9443745616632181,0.15015791142546472,0.6702008928571429,0.08256959033613445,0.973941105983409
dehazeformer,c005,dehazeformer,12k independent,,runs/campaigns/c005_official_group1/dehazeformer/13/best.pt,True,307248662,9d775373ef7ef4f9bef66eb483be04e93839b1c875c1dab91df4294983a60a01,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.37168088442346,0.9433459896328193,0.1375604359600402,0.6707589285714286,0.09418658088235293,0.9691912580461872
