method,params_M,macs_G,latency_ms,peak_vram_GB,throughput_ips,macro_psnr,macro_lpips,macro_top1
ours_dim48_anchor,2.63,25.52,46.42,0.2,21.54,28.71916017330395,0.14656201070855393,0.6785714285714286
dehazeformer,25.45,275.15,79.12,0.37,12.64,28.37168088442346,0.13756043596004017,0.6707589285714286
ours_dim64_anchor,4.63,44.69,62.86,0.26,15.91,28.114100835923207,0.14404761495435583,0.6702008928571429
restormer,26.13,140.99,84.66,0.66,11.81,28.10455210013269,0.149614390629722,0.65625
promptir,35.59,158.14,91.64,0.7,10.91,27.525529067921436,0.15789028613549555,0.6333705357142857
dfpir,26.13,140.99,84.67,0.66,11.81,27.276238865314813,0.1717389055920648,0.5954241071428571
ffanet,1.06,68.38,12.43,0.12,80.44,26.61209595666261,0.2058061132442422,0.5301339285714286
r2r,30.92,16.65,28.83,0.19,34.69,26.15362211063312,0.23591689489226803,0.5518973214285714
uformer,20.63,41.09,38.44,0.57,26.02,25.614083961883818,0.21528583114299438,0.48828125
airnet,8.93,301.27,167.45,0.55,5.97,24.785077701358258,0.20643444694204452,0.44419642857142855
swinir,3.14,204.53,145.99,0.86,6.85,24.778972330324898,0.23104043786796472,0.3911830357142857
prenet,0.46,30.31,4.32,0.3,231.36,24.38342098844339,0.23598992101532137,0.37109375
transweather,38.05,6.13,9.93,0.18,100.72,23.790695205456093,0.2744686950630109,0.31808035714285715
clearair,32.21,134.99,81.17,0.68,12.32,21.06954854465008,0.28755421227937666,0.2583705357142857
grl,5.11,316.39,838.44,0.6,1.19,20.432684421057395,0.3501805445770775,0.3091517857142857
A5,2.63,25.52,46.42,0.2,21.54,28.790507863360915,0.14333722552770006,0.6981026785714286
