model,params_M,macs_G,latency_ms,peak_vram_GB,throughput_ips
ours_dim48_anchor,2.63,25.52,46.42,0.2,21.54
dehazeformer,25.45,275.15,79.12,0.37,12.64
ours_dim64_anchor,4.63,44.69,62.86,0.26,15.91
restormer,26.13,140.99,84.66,0.66,11.81
promptir,35.59,158.14,91.64,0.7,10.91
dfpir,26.13,140.99,84.67,0.66,11.81
ffanet,1.06,68.38,12.43,0.12,80.44
r2r,30.92,16.65,28.83,0.19,34.69
uformer,20.63,41.09,38.44,0.57,26.02
airnet,8.93,301.27,167.45,0.55,5.97
swinir,3.14,204.53,145.99,0.86,6.85
prenet,0.46,30.31,4.32,0.3,231.36
transweather,38.05,6.13,9.93,0.18,100.72
clearair,32.21,134.99,81.17,0.68,12.32
grl,5.11,316.39,838.44,0.6,1.19
