method,psnr_blur,ssim_blur,psnr_haze,ssim_haze,psnr_inpainting,ssim_inpainting,psnr_lowlight,ssim_lowlight,psnr_noise,ssim_noise,psnr_rain,ssim_rain,psnr_snow,ssim_snow,macro_psnr,macro_ssim,macro_lpips
A5,28.766305793860752,0.9542113754432648,24.430347102480358,0.9070658358978108,31.06132587370901,0.9737517468165606,29.659422558888497,0.9737291198689491,27.810380263288167,0.9439547334332019,33.834997049545244,0.9810457413550466,25.970776401754378,0.8866318703221623,28.790507863360915,0.9457700604481423,0.1433372255277001
dehazeformer,28.763211569248984,0.9545103718992323,23.383316362164493,0.8937961403280497,32.32107369912039,0.9786364948377013,28.443151663164564,0.9706267646979541,28.027784708345397,0.9462040588259697,32.379049676096884,0.9748112086672336,25.2841785128235,0.8848368881735951,28.37168088442346,0.9433459896328193,0.13756043596004017
restormer,28.539247030047093,0.9527276584412903,23.941111435582553,0.9041360100964084,31.554778381192808,0.9758236969355494,26.331076554153682,0.9654326371382922,27.977708456632918,0.9454497566912323,33.168463071402094,0.9783694352954626,25.2194797719177,0.8812184146372601,28.10455210013269,0.943308229890785,0.14961439062972204
promptir,28.391079064885712,0.9519411677028984,23.948904242457296,0.9028642612975091,31.557778557485808,0.975919722346589,23.594390193118123,0.9476408399641514,27.78799082092212,0.9438767966348678,32.83704239436133,0.9755388556513935,24.561518202219666,0.8686671858886257,27.525529067921436,0.938064118498005,0.15789028613549558
ours_dim48_anchor,28.84138094330578,0.955081288702786,24.22091620439688,0.9038738737581298,31.12884546068655,0.9739039635751396,29.59346087905982,0.9724243162199855,27.807969071941514,0.9439605898223817,33.652713193887266,0.9807538122404367,25.788835459849857,0.8851711091992911,28.71916017330395,0.9450241362168786,0.14656201070855396
ours_dim64_anchor,28.714106151900168,0.9531187061220407,24.395878976124976,0.904218009323813,31.176105255196386,0.9743236482609063,24.548003904733996,0.9515170087106526,27.94720839455984,0.9450749785173684,33.97103368202358,0.9807317911181599,26.04636948692351,0.8914488126174547,28.11410083592321,0.9429189935243423,0.14404761495435583
airnet,27.0545922718943,0.942813809029758,20.220841524306426,0.8162904663477093,29.29757579983433,0.9651244801934808,18.917707824211384,0.739754632813856,27.590316748152404,0.9422892716247588,28.973858527109595,0.955465598963201,21.44065121399937,0.7933181558619253,24.785077701358258,0.8792937735478128,0.20643444694204452
clearair,24.241440243051713,0.9372754970099777,15.489624038677002,0.7371670310385525,23.591536237377756,0.8918524698819965,17.088827744372427,0.7625869921175763,24.117135955201977,0.9051430617691949,25.29679223031864,0.9340444409754127,17.661483363551042,0.6838244998943992,21.06954854465008,0.8359848560981585,0.28755421227937666
dfpir,28.27446947776172,0.9510596620384604,22.798754355185466,0.8733278590952978,31.331262052255276,0.9749674187041819,24.81149052159206,0.9543354720808566,27.750175696145323,0.9433176317252219,32.01771804674774,0.9716809096280485,23.949801907516107,0.8572658441553358,27.276238865314813,0.9322792567753433,0.1717389055920648
ffanet,27.585351867935557,0.9463220878969878,21.94218916299069,0.8521877792663872,28.20755979512891,0.958979141432792,28.835128294896787,0.9699272287543863,27.497220713484477,0.9413777191657573,30.04871635185816,0.960595291107893,22.16850551034369,0.814806033304194,26.61209595666261,0.920599325846914,0.2058061132442422
grl,27.343616852712568,0.944642941467464,17.869260342241372,0.7657445646473207,13.79387038232579,0.5207811021246016,17.522538794337063,0.6522983212489635,22.208299643367734,0.8603532536653802,27.288777669630427,0.9434520511422306,17.002427262786828,0.6434525600052439,20.432684421057395,0.7615321134716007,0.3501805445770775
prenet,26.684755617805973,0.9362836205400527,19.151903712934157,0.7894494233769365,29.003348396666258,0.9629273335449398,18.87043300343932,0.7361448557057884,26.896976521290792,0.935018994146958,28.09439902942372,0.9549381420947611,21.982130637543516,0.7984695172053762,24.38342098844339,0.8733188409449733,0.23598992101532137
r2r,27.510302006447187,0.9437477483879775,22.90412071573479,0.8790289296302944,29.35768464503803,0.9635700080543756,25.143507449238214,0.9419011634308845,26.722778440527527,0.9319822937250137,29.15445716072344,0.9561386869754642,22.28250435672267,0.8064933962305076,26.15362211063312,0.9175517466335025,0.23591689489226803
swinir,26.581780039214753,0.9338408283656463,20.57127800380022,0.8138064399827272,28.536461043323566,0.9586204579100013,20.56989771926542,0.8248308550100774,27.570605511687198,0.941705989651382,28.284882840718005,0.9447725424543023,21.337901154265104,0.7776734902581666,24.778972330324898,0.8850358005189004,0.23104043786796472
transweather,26.690138390406766,0.9435692834667861,19.448084719526992,0.795562676503323,25.71724595127857,0.920665591256693,21.99758093014713,0.8811775322537869,25.030330586515962,0.9083840085659176,26.951926286872343,0.9426829214207828,20.699559573444876,0.7545047058956698,23.790695205456093,0.8780781027661371,0.2744686950630109
uformer,25.907866798426006,0.9251671178499237,22.493331583770132,0.8701373621588573,29.993742159303174,0.9682963767554611,22.880732040030722,0.894597559585236,27.18451406902359,0.9375309641472995,27.906585291572906,0.9488563728518784,22.931815791060203,0.823274980604765,25.614083961883814,0.9096943905647744,0.21528583114299438
