row_type,method,cohort,top1,top5,samecat_top1,eer,auc
degraded_input,Degraded input,all,0.30301339285714285,0.5106026785714286,0.36216517857142855,0.16866684173669466,0.9077389061093187
restored,A5,ablation_core,0.6981026785714286,0.8604910714285714,0.734375,0.07988773634453782,0.9749361548818746
restored,dehazeformer,c005,0.6707589285714286,0.8353794642857143,0.7193080357142857,0.09418658088235293,0.9691912580461872
restored,restormer,c005,0.65625,0.8381696428571429,0.7098214285714286,0.09017528886554621,0.9701628234301534
restored,promptir,c005,0.6333705357142857,0.8275669642857143,0.6858258928571429,0.09438681722689077,0.9674084306574192
restored,ours_dim48_anchor,c005,0.6785714285714286,0.8643973214285714,0.7237723214285714,0.08269432773109243,0.9734646409833465
restored,ours_dim64_anchor,c005,0.6702008928571429,0.8588169642857143,0.7131696428571429,0.0849078693977591,0.9724052621536896
restored,airnet,c005,0.44419642857142855,0.6707589285714286,0.5016741071428571,0.13566176470588234,0.9394964785230498
restored,clearair,c005,0.2583705357142857,0.48604910714285715,0.3130580357142857,0.18961944152661064,0.8917385838612789
restored,dfpir,c005,0.5954241071428571,0.7896205357142857,0.64453125,0.09983696603641457,0.9625452024071347
restored,ffanet,c005,0.5301339285714286,0.7717633928571429,0.5993303571428571,0.10818561799719888,0.9556736549600309
restored,grl,c005,0.3091517857142857,0.5133928571428571,0.36049107142857145,0.1678002450980392,0.9090999436884128
restored,prenet,c005,0.37109375,0.59375,0.4369419642857143,0.1660484506302521,0.9131609272126819
restored,r2r,c005,0.5518973214285714,0.7589285714285714,0.6071428571428571,0.11173735119047619,0.9553943659983525
restored,swinir,c005,0.3911830357142857,0.6138392857142857,0.4453125,0.15905659138655462,0.9194156019341331
restored,transweather,c005,0.31808035714285715,0.5809151785714286,0.39564732142857145,0.15224527310924368,0.9254425061040041
restored,uformer,c005,0.48828125,0.6774553571428571,0.546875,0.13828672093837535,0.9366054307465174
