method,degradation,psnr,ssim,lpips,top1
A0,blur,28.241632350760373,0.9499427084811032,0.18341330608745918,0.68359375
A0,haze,24.3788175886238,0.9070490123704076,0.06744571464878386,0.35546875
A0,inpainting,31.342527986487415,0.9745466178283095,0.08873143577875449,0.8984375
A0,lowlight,29.544406452975682,0.9724026578478515,0.13703890635224522,0.51171875
A0,noise,27.750064307975087,0.9433195742312819,0.17079925825237294,0.84375
A0,rain,32.76362981878652,0.9768969102296978,0.11196150627256425,0.8203125
A0,snow,25.06712102996455,0.8757814962009434,0.33465549888205715,0.41015625
B1,blur,28.62358389242798,0.9520615458022803,0.17966830789737284,0.734375
B1,haze,24.677609953860827,0.9133707659784704,0.06608537704960323,0.38671875
B1,inpainting,31.042570550732016,0.9736593707930297,0.09228416176847527,0.87890625
B1,lowlight,29.290486972321446,0.9714514394290745,0.14175765345135,0.5390625
B1,noise,27.92000414155768,0.944604723714292,0.1517851631797384,0.85546875
B1,rain,33.88338487400866,0.9802408807445318,0.09463114668506019,0.84375
B1,snow,25.802410360080536,0.889437578705838,0.29891170734481415,0.4765625
B2,blur,28.313824097317504,0.9505996219813824,0.17703311557124832,0.73046875
B2,haze,23.839072319103327,0.8954747647512704,0.07289258812670592,0.34375
B2,inpainting,31.082780307865836,0.9736557477153838,0.09490883614489572,0.91015625
B2,lowlight,27.71861649962034,0.9685584020335227,0.1447280528846022,0.55078125
B2,noise,27.654391555455657,0.9422060577198863,0.17786382630583827,0.84375
B2,rain,32.12219010263431,0.9753446399699897,0.1248791183425055,0.80078125
B2,snow,24.6649963645725,0.8663506486918777,0.35350551868759794,0.32421875
A5,blur,28.766305793860752,0.9542113754432648,0.1704212696313334,0.734375
A5,haze,24.430347102480358,0.9070658358978108,0.0606882564934494,0.40625
A5,inpainting,31.06132587370901,0.9737517468165606,0.09138968618572103,0.91796875
A5,lowlight,29.659422558888497,0.9737291198689491,0.13351342832902444,0.6171875
A5,noise,27.810380263288167,0.9439547334332019,0.1589729915722273,0.87109375
A5,rain,33.834997049545244,0.9810457413550466,0.0902616866460448,0.86328125
A5,snow,25.970776401754378,0.8866318703221623,0.29811325983610004,0.4765625
