panel,task,degradation,method_id,method_label,psnr,ssim,lpips,top1_pct,eer_pct,auc,seed,checkpoint_fingerprint_12,config_fingerprint,verifier_sha256,source
(a),Deblurring,blur,airnet,AirNet,27.0545922718943,0.942813809029758,0.19014147746565865,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,dfpir,DFPIR,28.27446947776172,0.9510596620384604,0.187448745178699,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,dehazeformer,DehazeFormer,28.763211569248984,0.9545103718992323,0.16399476907463392,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,restormer,Restormer,28.539247030047093,0.9527276584412903,0.1707564840035047,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,promptir,PromptIR,28.391079064885712,0.9519411677028984,0.1719852298556361,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,ffanet,FFANet,27.585351867935557,0.9463220878969878,0.19222103165520818,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,transweather,TransWeather,26.690138390406766,0.9435692834667861,0.230290864710696,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,uformer,Uformer,25.907866798426006,0.9251671178499237,0.20932329440256578,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(a),Deblurring,blur,A5,SiblingRestore (Ours),28.766305793860752,0.9542113754432648,0.1704212696313334,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,airnet,AirNet,20.220841524306426,0.8162904663477093,0.13224971077943334,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,dfpir,DFPIR,22.798754355185466,0.8733278590952978,0.07889665688708188,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,dehazeformer,DehazeFormer,23.383316362164493,0.8937961403280497,0.07776133171864781,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,restormer,Restormer,23.941111435582553,0.9041360100964084,0.06891198436460395,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,promptir,PromptIR,23.948904242457296,0.9028642612975091,0.06645279366784958,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,ffanet,FFANet,21.94218916299069,0.8521877792663872,0.09888337148731803,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,transweather,TransWeather,19.448084719526992,0.795562676503323,0.1870620407280512,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,uformer,Uformer,22.493331583770132,0.8701373621588573,0.11212929576140591,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(b),Dehazing,haze,A5,SiblingRestore (Ours),24.430347102480358,0.9070658358978108,0.0606882564934494,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
