degradation,method,degraded_cosine,restored_cosine,delta_cosine,recovery_ratio
blur,Restormer,0.9913953507784754,0.9943403063807636,0.002944955602288246,-1.1890261134788342
haze,Restormer,0.7957916457053216,0.9229788886004826,0.12718724289516103,-2.259485406953487
inpainting,Restormer,0.9023649689625017,0.9981448790058494,0.09577991004334763,0.9472035935675209
lowlight,Restormer,0.921722698258236,0.9693392685148865,0.04761657025665045,0.12186366224439071
noise,Restormer,0.9689115355722606,0.9970267449971288,0.028115209424868226,0.7788652304744303
rain,Restormer,0.9903962819371372,0.9952011615969241,0.00480487965978682,-3.1436993671325455
snow,Restormer,0.6164573546211614,0.9321486950939288,0.3156913404727675,0.34710994008762647
blur,DehazeFormer,0.9913953507784754,0.9904142526211217,-0.0009810981573536992,-5.196088114786716
haze,DehazeFormer,0.7957916457053216,0.9121924258706713,0.11640078016534972,-3.3337185529822255
inpainting,DehazeFormer,0.9023649689625017,0.9992315506096929,0.0968665816471912,0.9668484004521859
lowlight,DehazeFormer,0.921722698258236,0.9791403317358345,0.05741763347759843,0.18774199180300058
noise,DehazeFormer,0.9689115355722606,0.9980085878632963,0.029097052291035652,0.836129447683087
rain,DehazeFormer,0.9903962819371372,0.9884149273857474,-0.0019813545513898134,-10.218433443438709
snow,DehazeFormer,0.6164573546211614,0.9337299333419651,0.3172725787208037,-2.1739941269491787
blur,PromptIR,0.9913953507784754,0.9926965828053653,0.0013012320268899202,-12.470057376514085
haze,PromptIR,0.7957916457053216,0.9364215137029532,0.14062986799763166,-1.580822617285284
inpainting,PromptIR,0.9023649689625017,0.9978916267864406,0.09552665782393888,0.9417354349021372
lowlight,PromptIR,0.921722698258236,0.9589773878105916,0.03725468955235556,-0.4851405566717483
noise,PromptIR,0.9689115355722606,0.99487095605582,0.02595942048355937,0.6069602087308898
rain,PromptIR,0.9903962819371372,0.9944374733604491,0.00404119142331183,-3.1551191325029775
snow,PromptIR,0.6164573546211614,0.9193210258381441,0.30286367121698277,0.14101364888496462
blur,Ours,0.9913953507784754,0.9928329605609179,0.0014376097824424505,-2.089468963519615
haze,Ours,0.7957916457053216,0.9365800096275052,0.14078836392218363,-1.667534092226751
inpainting,Ours,0.9023649689625017,0.9978094978723675,0.09544452890986577,0.9509089301910099
lowlight,Ours,0.921722698258236,0.9859480918385088,0.0642253935802728,0.5349692884018655
noise,Ours,0.9689115355722606,0.9974384419620037,0.02852690638974309,0.8354724421908588
rain,Ours,0.9903962819371372,0.99731859494932,0.0069223130121827126,-1.552420341009209
snow,Ours,0.6164573546211614,0.9379540356676443,0.321496681046483,0.5796541292698891
