comparison,degradation,metric,mean_difference,ci_low,ci_high,sample_count,significant
Ours_vs_Restormer,blur,delta_cosine,-0.0015073458198457956,-0.004264755611075088,0.00037639056099578687,256,False
Ours_vs_Restormer,haze,delta_cosine,0.0136011210270226,0.0011590700301894687,0.029127946382504887,256,True
Ours_vs_Restormer,inpainting,delta_cosine,-0.00033538113348186016,-0.0007304641650989652,-7.26594589650648e-06,256,False
Ours_vs_Restormer,lowlight,delta_cosine,0.016608823323622346,0.009884108594269492,0.024778539250837638,256,True
Ours_vs_Restormer,noise,delta_cosine,0.0004116969648748636,-2.8442963957786558e-05,0.0008629274612758308,256,False
Ours_vs_Restormer,rain,delta_cosine,0.002117433352395892,0.0006481402728240937,0.0037972884951159355,256,True
Ours_vs_Restormer,snow,delta_cosine,0.005805340573715512,-0.011815886590375158,0.023043710015917884,256,False
Ours_vs_Restormer,average,delta_cosine,0.00524309832690051,0.0018734438495552567,0.008697714050218306,256,True
Ours_vs_DehazeFormer,blur,delta_cosine,0.0024187079397961497,-0.0017599985178094358,0.008586281770840285,256,False
Ours_vs_DehazeFormer,haze,delta_cosine,0.02438758375683392,0.01027593045228059,0.040815069984682845,256,True
Ours_vs_DehazeFormer,inpainting,delta_cosine,-0.00142205273732543,-0.0026877951400820165,-0.0004676435317378496,256,False
Ours_vs_DehazeFormer,lowlight,delta_cosine,0.006807760102674365,0.0015934876981191337,0.012877504539210336,256,True
Ours_vs_DehazeFormer,noise,delta_cosine,-0.0005701459012925625,-0.0012388094677589835,-6.358199170790632e-05,256,False
Ours_vs_DehazeFormer,rain,delta_cosine,0.008903667563572526,0.0035934004641603678,0.015441279794322324,256,True
Ours_vs_DehazeFormer,snow,delta_cosine,0.004224102325679269,-0.016263795829399897,0.023369540020394174,256,False
Ours_vs_DehazeFormer,average,delta_cosine,0.006392803292848323,0.002453691738674028,0.010467307807350928,256,True
Ours_vs_PromptIR,blur,delta_cosine,0.0001363777555525303,-0.00279544954537414,0.0022975944099016443,256,False
Ours_vs_PromptIR,haze,delta_cosine,0.00015849592455197126,-0.013430548454198287,0.012209387416442036,256,False
Ours_vs_PromptIR,inpainting,delta_cosine,-8.212891407310963e-05,-0.0003853316942695528,0.00021504446049220834,256,False
Ours_vs_PromptIR,lowlight,delta_cosine,0.026970704027917236,0.015238685203075874,0.040037252631736894,256,True
Ours_vs_PromptIR,noise,delta_cosine,0.0025674859061837196,0.0011440559406764804,0.004225402296287939,256,True
Ours_vs_PromptIR,rain,delta_cosine,0.002881121588870883,0.0007709501369390637,0.00528605353902094,256,True
Ours_vs_PromptIR,snow,delta_cosine,0.018633009829500224,0.005003182979817211,0.03280081221309956,256,True
Ours_vs_PromptIR,average,delta_cosine,0.007323580874071922,0.003927531390140112,0.010768403067647469,256,True
