method,degradation,sample_count,view_count,cosine_mean,cosine_std,cosine_ci_low,cosine_ci_high,margin_mean,margin_std,margin_ci_low,margin_ci_high,delta_cosine_mean,delta_cosine_std,delta_cosine_ci_low,delta_cosine_ci_high,recovery_ratio_mean,recovery_ratio_std,recovery_ratio_ci_low,recovery_ratio_ci_high
Restormer,blur,256,256,0.9943403063807636,0.01654798639609629,0.992185700009577,0.9961847915197722,0.0022649471648037434,0.021522127940657484,-0.00031494615832343696,0.004865151504054663,0.002944955602288246,0.011801758312198323,0.0015850050607696176,0.004511958063812925,-1.1890261134788342,8.220749223269824,-2.3710432571886844,-0.2807647262922963
Restormer,haze,256,256,0.9229788886004826,0.20577097192434457,0.8968007179515552,0.945477326832406,-0.06438071992306504,0.1972612740639229,-0.08952193245277158,-0.042686210113970446,0.12718724289516103,0.33820154226087795,0.08677391169621843,0.16839745922861765,-2.259485406953487,28.40188016974651,-6.461083116916313,0.06700436794446991
Restormer,inpainting,256,256,0.9981448790058494,0.008205303991178997,0.9970710017136298,0.9990100500406698,0.006753281690180302,0.015037048602433213,0.00504615418612957,0.008550077659310772,0.09577991004334763,0.12586392637373733,0.08072400143282721,0.1115240400889888,0.9472035935675209,0.1722941996351675,0.9229437246728314,0.9652742873660568
Restormer,lowlight,256,256,0.9693392685148865,0.08317288773590766,0.9583886185282608,0.978653080217191,-0.0180829968303442,0.06737534014713412,-0.026722874605911783,-0.01057598869665526,0.04761657025665045,0.11254219829185778,0.03397262602811679,0.061440554400905956,0.12186366224439071,2.9870271847341967,-0.2841409107543825,0.4482811459353102
Restormer,noise,256,256,0.9970267449971288,0.007269116441190467,0.9961200440768152,0.9978966529946774,0.005861592013388872,0.019528585513083705,0.0037516073149163275,0.008302599395392463,0.028115209424868226,0.04008638692181778,0.02324676522985101,0.033211179019417614,0.7788652304744303,0.5530523857311257,0.7063348930962687,0.8426222989052233
Restormer,rain,256,256,0.9952011615969241,0.018568250457608876,0.9927614386018832,0.9971981343289371,0.003595479531213641,0.022752803863445394,0.0009016279364004731,0.006365903309779241,0.00480487965978682,0.029816768081389285,0.0014700992032885551,0.008648863865528248,-3.1436993671325455,20.099451284161287,-5.944092517162444,-1.1892636478794998
Restormer,snow,256,256,0.9321486950939288,0.2103673852898515,0.9039228000940056,0.9553909985610517,-0.0546720629936317,0.1996767132805933,-0.08188939453830243,-0.03296128053407302,0.3156913404727675,0.48009139469623285,0.2582342919833991,0.3736349212020284,0.34710994008762647,2.816960406758318,-0.039978058453664374,0.6372425012069017
Restormer,average,256,1792,0.9727399920271377,0.04983046115813472,0.9661056484620142,0.9784871796788398,-0.01695149704963634,0.04302470746945344,-0.022526064480916833,-0.011887065147987284,0.08887715833640998,0.08996917983898714,0.077452758364026,0.1002401278520795,0.7044277493841753,1.0413677504279666,0.558555926175624,0.803214346204351
DehazeFormer,blur,256,256,0.9904142526211217,0.044745890091120344,0.9839827396121109,0.9948517415090464,-0.0012649308191612363,0.04177807735417189,-0.007116382423555478,0.0033250568434596054,-0.0009810981573536992,0.043871576978731806,-0.007109913096064701,0.003036259720101952,-5.196088114786716,49.46641417804811,-12.145711680278978,-0.8648285644351157
DehazeFormer,haze,256,256,0.9121924258706713,0.21170562652401195,0.8866902937510076,0.936034632558085,-0.07315031421057938,0.20176156924426863,-0.0978607161999662,-0.050533041445442,0.11640078016534972,0.3188412977484669,0.07754585185580254,0.15656616724568262,-3.3337185529822255,37.81443792248321,-8.91778266942307,-0.03992320700886594
DehazeFormer,inpainting,256,256,0.9992315506096929,0.002209704493145155,0.9989455425238702,0.999471875675954,0.007667409023270011,0.019358268367301684,0.005558488989481703,0.01006727962521836,0.0968665816471912,0.1260807018964067,0.08175170353788416,0.11304376002517529,0.9668484004521859,0.11285787087751215,0.9520853559539194,0.9794329932112191
DehazeFormer,lowlight,256,256,0.9791403317358345,0.05890908881442807,0.9709875608386938,0.985829641710734,-0.008928845403715968,0.038420629270785614,-0.01407732380903326,-0.004571594781009485,0.05741763347759843,0.09962233565923491,0.045508453308139,0.07005115273059345,0.18774199180300058,3.6046436444033425,-0.3110984231528622,0.5691885111908122
DehazeFormer,noise,256,256,0.9980085878632963,0.0041579405105991165,0.9974857729626819,0.9985163432604167,0.006323237670585513,0.018884003399904828,0.004342804563930258,0.008715063484851269,0.029097052291035652,0.04054174411072476,0.024244529358111323,0.034230816212948406,0.836129447683087,0.41900179296748163,0.779141592671553,0.8841129480316415
DehazeFormer,rain,256,256,0.9884149273857474,0.056417515280202245,0.9810599258576985,0.9944485924846959,-0.0018910570070147514,0.052938202038515146,-0.008678508445154876,0.003995775961084287,-0.0019813545513898134,0.05820904838033026,-0.009502132970374078,0.004310098633868617,-10.218433443438709,103.80110659436566,-23.97311339297668,-2.478337650433832
DehazeFormer,snow,256,256,0.9337299333419651,0.1886578072965206,0.9075172508397372,0.9549077063187723,-0.05074599711224437,0.1731292132695229,-0.07496768797864206,-0.03154242273303681,0.3172725787208037,0.4926814415810383,0.2596218109068104,0.37863623503817506,-2.1739941269491787,37.23495771954591,-7.302511912699529,0.5728032084612681
DehazeFormer,average,256,1792,0.9715902870611899,0.050434897083592126,0.9649868930666149,0.9774858139877259,-0.017427213979837167,0.04355328364420882,-0.023226071133415516,-0.012147245487371304,0.08772745337046217,0.09271257316904404,0.07563557050243616,0.09900103877562286,0.618598573230377,1.8839872655549017,0.34274650181548494,0.7866013409611827
PromptIR,blur,256,256,0.9926965828053653,0.018831894876297384,0.9901708587538451,0.9949402978818398,0.001291122054681182,0.022792141864424485,-0.0014933931233827025,0.004053786623990163,0.0013012320268899202,0.01344727405150667,-0.000337789295008406,0.002940418530488384,-12.470057376514085,152.70534202931103,-33.80956039665374,-1.1666257379540739
PromptIR,haze,256,256,0.9364215137029532,0.1705087760225167,0.9145966935844626,0.9548847079793631,-0.04821008289582096,0.1594471238593227,-0.06925046596952597,-0.03117755927014514,0.14062986799763166,0.31976571395398096,0.10302129916117338,0.18056993292702828,-1.580822617285284,18.3937472644816,-4.221698034268401,0.23806588924670896
PromptIR,inpainting,256,256,0.9978916267864406,0.009343231815720124,0.9966844883281738,0.9988845878862775,0.006391521543264389,0.013767482553062954,0.004827078245580196,0.008023479330586267,0.09552665782393888,0.12576053535082798,0.08050399531348376,0.11135838188638442,0.9417354349021372,0.20748558074655415,0.9134376323874154,0.96364572650796
PromptIR,lowlight,256,256,0.9589773878105916,0.11703177042308185,0.9438498819508823,0.9725151932871086,-0.027299503970425576,0.09963738765602527,-0.040559337960439736,-0.016254264400049585,0.03725468955235556,0.13028003070257385,0.021410078699409495,0.052892931085079906,-0.4851405566717483,9.536013230595598,-1.9169760187482627,0.36059861834433293
PromptIR,noise,256,256,0.99487095605582,0.015553160357571193,0.9929204857791774,0.9966316934907808,0.0037447672802954912,0.014055187240676734,0.0021028299524914473,0.005407839227700606,0.02595942048355937,0.04161631236511895,0.020972741855075583,0.03127902915584854,0.6069602087308898,1.5887494307007366,0.3975744133444109,0.7753474142034276
PromptIR,rain,256,256,0.9944374733604491,0.02041550792034481,0.9918604068341665,0.9966565544833429,0.003011072287335992,0.02310262242166876,0.00015180656337179248,0.00569864807766862,0.00404119142331183,0.02141326861738443,0.0015566268935799598,0.006958302814746274,-3.1551191325029775,19.184445078878635,-5.757570353609169,-1.1363466895343795
PromptIR,snow,256,256,0.9193210258381441,0.2292471948994355,0.8888959792864626,0.9442223384859971,-0.06524272018577904,0.21516683144693174,-0.09448612062842585,-0.042175336896616504,0.30286367121698277,0.46913726011898177,0.24623150567072116,0.36105561562540056,0.14101364888496462,4.51098386512147,-0.5089465933047662,0.5733642863623792
PromptIR,average,256,1792,0.9706595094799663,0.05246394720643283,0.9638417769116391,0.9769094469148383,-0.01804483198377836,0.044914898144213074,-0.02364661660924737,-0.012797264327049822,0.08679667578923858,0.09003189497376506,0.07554733678717379,0.09794623784092177,0.6471836453027419,1.4498619390106386,0.4411729047037645,0.7816622529122838
Ours,blur,256,256,0.9928329605609179,0.024001909267210273,0.9893255700939335,0.9954773614183068,0.0011179116554558277,0.020826429016496898,-0.0016437144251540304,0.003578216920141129,0.0014376097824424505,0.02332880733974627,-0.0018556453986093401,0.004006355727324262,-2.089468963519615,11.108246866089805,-3.6272465731339536,-0.8839642910790506
Ours,haze,256,256,0.9365800096275052,0.19342833608178955,0.9118149591617112,0.9575145062739466,-0.052077385495067574,0.18866477882014768,-0.07571255953407671,-0.032058839440287555,0.14078836392218363,0.3555487694889497,0.09704753167388844,0.18529013284651227,-1.667534092226751,24.472896597052703,-5.163080750546682,0.31527506393275845
Ours,inpainting,256,256,0.9978094978723675,0.010565950704278192,0.9963894095038995,0.9988871785928495,0.005907365819439292,0.0137786452199146,0.004380295966984704,0.0075539112731348714,0.09544452890986577,0.1257520363075707,0.08046329231583513,0.11142904136213473,0.9509089301910099,0.14306914250309452,0.9318529508115352,0.9672757930469075
Ours,lowlight,256,256,0.9859480918385088,0.039311602940399946,0.9806096977728884,0.9902042672270909,-0.003520361613482237,0.03769308737177638,-0.008551079430617392,0.0005096768494695418,0.0642253935802728,0.09131621987167564,0.053200455539627,0.07577121731010265,0.5349692884018655,1.8042682685285905,0.281711693087132,0.7268860790827297
Ours,noise,256,256,0.9974384419620037,0.0070035557414452445,0.996513202827191,0.9982434152043425,0.006215870846062899,0.01670700742866381,0.004360931541305036,0.008234853076282887,0.02852690638974309,0.039720543543532424,0.0237044274341315,0.03346979668713175,0.8354724421908588,0.3523693909563407,0.7906598838312443,0.8773528034996105
Ours,rain,256,256,0.99731859494932,0.011421269815361733,0.9956968855753076,0.9984917360707186,0.005370208062231541,0.017516786833575444,0.003284740645904094,0.007435602776240557,0.0069223130121827126,0.028287907852918327,0.0038413348607718944,0.010636539536062629,-1.552420341009209,15.899243561285475,-3.8836664861203762,-0.03232322367216309
Ours,snow,256,256,0.9379540356676443,0.21629100257074926,0.91068667840118,0.9612228202429833,-0.050006072655378375,0.20733024270894335,-0.07664609460862266,-0.028274723158756388,0.321496681046483,0.4755908007224668,0.26452641847849917,0.38108574803400186,0.5796541292698891,2.484122359348105,0.2204611189009978,0.7822388929735088
Ours,average,256,1792,0.9779830903540382,0.046176377416503475,0.9719385617568279,0.9835014400100719,-0.012427494768676946,0.04153976351984544,-0.01781146455843035,-0.0075913383757974144,0.09412025666331049,0.09355423536237344,0.08200379995079987,0.10583854770414809,0.7309676267386322,1.3781222161737785,0.5340894515251289,0.8438457668230355
