comparison,degradation,metric,ours,baseline,delta_improvement,bootstrap_mean,ci_low,ci_high,significant,raw_p,fdr_q,significant_raw,significant_fdr,scope,sample_count
Ours_vs_Restormer,aggregate,PSNR,28.790507863360915,28.104552100132693,0.6859557632282218,0.6856528932828793,0.5922748598963902,0.7794443579481153,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,aggregate,SSIM,0.9457700604481423,0.943308229890785,0.0024618305573572696,0.0024623340879700033,0.0014059207453101421,0.003566487014696963,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,aggregate,LPIPS,0.14333722552770006,0.14961439062972204,0.006277165102021975,0.006265420078160814,0.004771519518089919,0.0077712487762580315,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,aggregate,Top1,0.6981026785714286,0.65625,0.0418526785714286,0.04186568080357141,0.02399553571428571,0.059151785714285705,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,aggregate,Cosine,0.9779830903540382,0.9727399920271377,0.005243098326900508,0.005237846897233042,0.0019704018296969063,0.008631904809070483,True,0.0022,0.003882352941176471,True,True,source,10000
Ours_vs_Restormer,aggregate,Margin,-0.012427494768676946,-0.01695149704963634,0.004524002280959394,0.004519483300577745,0.0013777226734289021,0.007705979015892287,True,0.0048,0.008,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,PSNR,28.790507863360915,28.371680884423462,0.418826978937453,0.4194459626544975,0.3181550546401623,0.5218477713911299,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,SSIM,0.9457700604481423,0.9433459896328193,0.0024240708153229207,0.0024258556330227317,0.0012654066732336257,0.003594909532486259,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,LPIPS,0.14333722552770006,0.1375604359600402,-0.005776789567659868,-0.005766664338798753,-0.00768856372004458,-0.0038660162246872344,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,Top1,0.6981026785714286,0.6707589285714286,0.02734375,0.027409821428571422,0.0078124999999999965,0.046875,True,0.0076,0.012127659574468085,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,Cosine,0.9779830903540382,0.9715902870611899,0.006392803292848304,0.0064019057772555015,0.0024620549003300015,0.01034881161791158,True,0.0018,0.0032142857142857147,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,Margin,-0.012427494768676946,-0.017427213979837167,0.004999719211160221,0.005010328886983942,0.0013978418182627394,0.008607342466789954,True,0.0066,0.010760869565217391,True,True,source,10000
Ours_vs_PromptIR,aggregate,PSNR,28.790507863360915,27.525529067921436,1.2649787954394789,1.264062354859687,1.1426385588703958,1.38409327616555,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,SSIM,0.9457700604481423,0.938064118498005,0.007705941950137296,0.0076962151012300315,0.00643017832324924,0.009044559134781596,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,LPIPS,0.14333722552770006,0.15789028613549558,0.014553060607795515,0.014539425907717436,0.012748051039436955,0.016321631654130083,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,Top1,0.6981026785714286,0.6333705357142856,0.06473214285714302,0.06480675223214284,0.04520089285714285,0.0842773437499998,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,Cosine,0.9779830903540382,0.9706595094799663,0.007323580874071922,0.007318315791743121,0.003894435565468614,0.010956601760933278,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,Margin,-0.012427494768676946,-0.01804483198377836,0.005617337215101416,0.005611617385747688,0.002235725905848085,0.009188811222442642,True,0.001,0.001875,True,True,source,10000
Ours_vs_Restormer,aggregate,AUC,0.9749361646514074,0.9701628234301534,0.004773341221254057,0.004770427695003783,0.002947003661083547,0.006625245496147672,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,aggregate,EER,0.07988773634453782,0.09017528886554621,0.010287552521008395,0.00977869824492293,0.00466988357843133,0.014853707107843343,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,AUC,0.9749361646514074,0.9691912678157201,0.005744896835687352,0.005755838952890726,0.003384715580568157,0.00816279578848147,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,aggregate,EER,0.07988773634453782,0.09418658088235293,0.014298844537815117,0.013854596025910345,0.008057379201680613,0.01935122877275954,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,AUC,0.9749361646514074,0.9674084404269521,0.007527724224455357,0.007516846113689616,0.005572667940467244,0.009565085769415203,True,0.0,0.0,True,True,source,10000
Ours_vs_PromptIR,aggregate,EER,0.07988773634453782,0.09438681722689077,0.014499080882352952,0.0145494321165966,0.009995349702380757,0.019319032300420366,True,0.0,0.0,True,True,source,10000
