source_id,method,metric,value
vari-grip/bird-nest/08-06-2021_DJI_0089_322,Ours,PSNR,26.456205720098957
vari-grip/bird-nest/08-06-2021_DJI_0089_322_3,Ours,PSNR,24.06661130477079
vari-grip/bird-nest/08-06-2021_DJI_0285_392,Ours,PSNR,23.907659911542982
vari-grip/bird-nest/10-06-2021_DJI_0244_649_2,Ours,PSNR,27.462858205938023
vari-grip/bird-nest/10-06-2021_DJI_0270_657_5,Ours,PSNR,22.183171840846676
vari-grip/bird-nest/10-06-2021_DJI_0270_657_7,Ours,PSNR,23.39626275710932
vari-grip/bird-nest/10-06-2021_DJI_0271_658_1,Ours,PSNR,29.206615896200734
vari-grip/bird-nest/10-06-2021_DJI_0271_658_2,Ours,PSNR,25.633201652298645
vari-grip/bird-nest/10-06-2021_DJI_0271_658_6,Ours,PSNR,30.34139968775772
vari-grip/bird-nest/10-06-2021_DJI_0271_658_8,Ours,PSNR,25.48432626118146
vari-grip/bird-nest/11-06-2021_DJI_0121_4_1,Ours,PSNR,25.99252721181782
vari-grip/bird-nest/11-06-2021_DJI_0121_4_4,Ours,PSNR,25.093953094590567
vari-grip/bird-nest/11-06-2021_DJI_0121_4_5,Ours,PSNR,22.023019387397426
vari-grip/bird-nest/11-06-2021_DJI_0132_6_0,Ours,PSNR,26.16569020788248
vari-grip/bird-nest/11-06-2021_DJI_0132_6_6,Ours,PSNR,27.372848310928813
vari-grip/bird-nest/15-06-2021_DJI_0044_726,Ours,PSNR,25.68989029329424
vari-grip/bird-nest/15-06-2021_DJI_0044_726_6,Ours,PSNR,23.340984964956842
vari-grip/bird-nest/Fotos 02-12-2020_DJI_0492_vari_grip_56_4,Ours,PSNR,25.083136207460107
vari-grip/bird-nest/Fotos 02-12-2020_DJI_0492_vari_grip_57_0,Ours,PSNR,29.28130956878807
vari-grip/bird-nest/Fotos 02-12-2020_DJI_0492_vari_grip_57_4,Ours,PSNR,24.302799976072997
vari-grip/bird-nest/Fotos 17-11-2020_DJI_0289_vari_grip_478,Ours,PSNR,31.776787881465594
vari-grip/bird-nest/Fotos 17-11-2020_DJI_0303_vari_grip_479_0,Ours,PSNR,25.126282568067932
vari-grip/bird-nest/Fotos 17-11-2020_DJI_0304_vari_grip_480,Ours,PSNR,31.218097437637734
vari-grip/bird-nest/Fotos 18-11-2020_DJI_0209_vari_grip_530_0,Ours,PSNR,29.560107885750295
vari-grip/bird-nest/Fotos 18-11-2020_DJI_0209_vari_grip_530_3,Ours,PSNR,24.85686041684309
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0140_vari_grip_571_3,Ours,PSNR,26.194065520232332
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0140_vari_grip_571_7,Ours,PSNR,28.7094677120258
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0149_vari_grip_573_0,Ours,PSNR,30.743107169841007
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0149_vari_grip_573_4,Ours,PSNR,31.82993083788209
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0149_vari_grip_573_6,Ours,PSNR,23.22604796053835
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0150_vari_grip_574_0,Ours,PSNR,25.576335178047056
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0150_vari_grip_575_1,Ours,PSNR,31.182867681619292
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0150_vari_grip_575_2,Ours,PSNR,30.319004427676816
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0151_vari_grip_577_2,Ours,PSNR,28.1816732069905
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0151_vari_grip_577_3,Ours,PSNR,28.630639127805267
vari-grip/bird-nest/Fotos 19-11-2020_DJI_0151_vari_grip_577_4,Ours,PSNR,27.089943654812906
vari-grip/bird-nest/Fotos 20-11-2020_DJI_0210_vari_grip_683_2,Ours,PSNR,24.94475396990567
vari-grip/bird-nest/Fotos 20-11-2020_DJI_0210_vari_grip_683_7,Ours,PSNR,25.03429279426768
vari-grip/bird-nest/Fotos 23-11-2020_DJI_0279_vari_grip_768_0,Ours,PSNR,28.507050341299607
vari-grip/bird-nest/Fotos 23-11-2020_DJI_0279_vari_grip_768_2,Ours,PSNR,23.78272608593038
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0207_vari_grip_861_0,Ours,PSNR,30.416694387206554
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0207_vari_grip_861_6,Ours,PSNR,28.360723800528728
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0563_vari_grip_841_0,Ours,PSNR,27.472096948853732
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0563_vari_grip_841_2,Ours,PSNR,32.09373954796249
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0563_vari_grip_841_4,Ours,PSNR,28.54209625924418
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0563_vari_grip_841_7,Ours,PSNR,31.015345187409913
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_843,Ours,PSNR,29.779362936227706
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_843_1,Ours,PSNR,32.37656632762181
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_843_2,Ours,PSNR,32.25397898133752
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_844,Ours,PSNR,29.66854181817169
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_844_4,Ours,PSNR,29.199751539276424
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_844_7,Ours,PSNR,31.360099596176557
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0564_vari_grip_844_8,Ours,PSNR,26.38573821672905
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_845,Ours,PSNR,29.67503035984879
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_845_2,Ours,PSNR,26.48906104079457
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_845_7,Ours,PSNR,22.24015458281983
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_845_8,Ours,PSNR,27.540518726195188
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_846,Ours,PSNR,28.68334220783962
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_846_3,Ours,PSNR,27.503891599669707
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0586_vari_grip_846_4,Ours,PSNR,29.73821581876187
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0588_vari_grip_847_1,Ours,PSNR,24.4534837891684
vari-grip/bird-nest/Fotos 25-11-2020_DJI_0588_vari_grip_847_8,Ours,PSNR,25.13818532116778
vari-grip/bird-nest/Fotos 26-11-2020_DJI_0214_vari_grip_906_1,Ours,PSNR,24.60921977036802
vari-grip/bird-nest/Fotos 26-11-2020_DJI_0214_vari_grip_907,Ours,PSNR,28.85125263937459
vari-grip/bird-nest/Fotos 26-11-2020_DJI_0215_vari_grip_908_3,Ours,PSNR,27.11802641057395
vari-grip/bird-nest/Fotos 26-11-2020_DJI_0262_vari_grip_910,Ours,PSNR,28.060240441361398
vari-grip/bird-nest/Fotos 26-11-2020_DJI_0262_vari_grip_911,Ours,PSNR,29.42459901078743
vari-grip/bird-nest/Fotos 27-11-2020_DJI_0491_vari_grip_933_1,Ours,PSNR,25.227249852129425
vari-grip/bird-nest/Fotos 27-11-2020_DJI_0491_vari_grip_933_4,Ours,PSNR,31.217687946804286
vari-grip/bird-nest/Fotos 27-11-2020_DJI_0491_vari_grip_933_8,Ours,PSNR,24.245906700079818
vari-grip/bird-nest/Fotos 27-11-2020_DJI_0566_vari_grip_924_6,Ours,PSNR,28.06552885091898
